,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date,week
1205,6,Lil Uzi Vert,Baby Pluto,0,6,1,2020-03-28,13
1206,7,Arizona Zervas,Roxanne,6,4,19,2020-03-28,13
1207,8,Lil Uzi Vert,Lo Mein,0,8,1,2020-03-28,13
1208,9,Lil Uzi Vert,Silly Watch,0,9,1,2020-03-28,13
1209,10,Justin Bieber Featuring Quavo,Intentions,10,9,5,2020-03-28,13
1210,11,Lil Uzi Vert,P2,0,11,1,2020-03-28,13
1211,12,Tones And I,Dance Monkey,8,4,23,2020-03-28,13
1212,13,Maroon 5,Memories,9,2,25,2020-03-28,13
1213,14,Billie Eilish,Everything I Wanted,12,8,18,2020-03-28,13
1214,15,Lewis Capaldi,Someone You Loved,11,1,44,2020-03-28,13
1215,16,Harry Styles,Adore You,14,14,14,2020-03-28,13
1216,17,blackbear,Hot Girl Bummer,13,13,26,2020-03-28,13
1217,18,Demi Lovato,I Love Me,0,18,1,2020-03-28,13
1218,19,Doja Cat Featuring Nicki Minaj,Say So,16,16,10,2020-03-28,13
1219,20,Lil Uzi Vert,That Way,21,20,2,2020-03-28,13
1220,21,The Weeknd,Heartless,17,1,16,2020-03-28,13
1221,22,Lil Uzi Vert,Homecoming,0,22,1,2020-03-28,13
1222,23,Maren Morris,The Bones,19,18,25,2020-03-28,13
1223,24,Jhene Aiko Featuring H.E.R.,B.S.,0,24,1,2020-03-28,13
1224,25,Lil Uzi Vert,Prices,0,25,1,2020-03-28,13
1225,26,Camila Cabello Featuring DaBaby,My Oh My,25,22,14,2020-03-28,13
"1226,27,Dan + Shay & Justin Bieber,""10,000 Hours"",20,4,23,2020-03-28,13"
1227,28,Lil Uzi Vert,POP,0,28,1,2020-03-28,13
1228,29,Mustard & Roddy Ricch,Ballin',22,11,34,2020-03-28,13
1229,30,Lady Gaga,Stupid Love,5,5,2,2020-03-28,13
1230,31,Lil Baby,Woah,15,15,18,2020-03-28,13
1231,32,Eminem Featuring Juice WRLD,Godzilla,42,3,8,2020-03-28,13
1232,33,Lil Uzi Vert,Bigger Than Life,0,33,1,2020-03-28,13
1233,34,Lil Uzi Vert,Celebration Station,0,34,1,2020-03-28,13
1234,35,DaBaby,BOP,24,11,24,2020-03-28,13
1235,36,Lil Uzi Vert,You Better Move,0,36,1,2020-03-28,13
1236,37,Lil Uzi Vert,I'm Sorry,0,37,1,2020-03-28,13
1237,38,Selena Gomez,Lose You To Love Me,27,1,21,2020-03-28,13
1238,39,Lil Uzi Vert,Venetia,0,39,1,2020-03-28,13
1239,40,Jhene Aiko,P*$$y Fairy (OTW),100,40,8,2020-03-28,13
1240,41,Halsey,You Should Be Sad,29,26,9,2020-03-28,13
1241,42,Trevor Daniel,Falling,34,25,17,2020-03-28,13
1242,43,Roddy Ricch Featuring Mustard,High Fashion,30,20,11,2020-03-28,13
1243,44,Kane Brown,Homesick,39,39,17,2020-03-28,13
1244,45,Lil Uzi Vert,Chrome Heart Tags,0,45,1,2020-03-28,13
1245,46,Chris Brown Featuring Drake,No Guidance,37,5,40,2020-03-28,13
1246,47,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),44,36,16,2020-03-28,13
1247,48,Lil Uzi Vert,Futsal Shuffle 2020,0,5,10,2020-03-28,13
1248,49,Lizzo,Good As Hell,35,3,29,2020-03-28,13
1249,50,Gabby Barrett Featuring Charlie Puth,I Hope,51,44,11,2020-03-28,13
1250,51,Lil Uzi Vert,Bust Me,0,51,1,2020-03-28,13
1251,52,Lil Baby,Sum 2 Prove,26,16,9,2020-03-28,13
1252,53,Lil Mosey,Blueberry Faygo,52,51,5,2020-03-28,13
1253,54,Bad Bunny,La Dificil,33,33,2,2020-03-28,13
1254,55,Pop Smoke,Dior,47,30,4,2020-03-28,13
1255,56,Bad Bunny,Si Veo A Tu Mama,32,32,2,2020-03-28,13
1256,57,Lil Baby & Gunna,Heatin Up,18,18,2,2020-03-28,13
1257,58,Rod Wave,Heart On Ice,55,54,18,2020-03-28,13
1258,59,Megan Thee Stallion,B.I.T.C.H.,0,31,5,2020-03-28,13
1259,60,Jake Owen,Homemade,70,60,7,2020-03-28,13
1260,61,H.E.R. Featuring YG,Slide,56,52,12,2020-03-28,13
1261,62,Russ & BIA,BEST ON EARTH,60,52,14,2020-03-28,13
1262,63,Jonas Brothers,What A Man Gotta Do,41,16,8,2020-03-28,13
1263,64,Lil Baby,Emotionally Scarred,31,31,2,2020-03-28,13
1264,65,Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.),0,65,1,2020-03-28,13
1265,66,Bad Bunny,Vete,36,33,15,2020-03-28,13
1266,67,Justin Bieber,Yummy,40,2,10,2020-03-28,13
1267,68,Lil Baby Featuring Lil Uzi Vert,Commercial,23,23,2,2020-03-28,13
1268,69,Blake Shelton Duet With Gwen Stefani,Nobody But You,67,43,9,2020-03-28,13
1269,70,Morgan Wallen,Chasin' You,71,67,7,2020-03-28,13
1270,71,Doja Cat & Tyga,Juicy,57,41,20,2020-03-28,13
1271,72,Lil Uzi Vert,Secure The Bag,0,72,1,2020-03-28,13
"1272,73,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,74,73,5,2020-03-28,13"
1273,74,Megan Thee Stallion,Captain Hook,0,74,1,2020-03-28,13
1274,75,Karol G & Nicki Minaj,Tusa,62,42,15,2020-03-28,13
1275,76,Lil Uzi Vert Featuring Syd,Urgency,0,76,1,2020-03-28,13
1276,77,Jordan Davis,Slow Dance In A Parking Lot,75,72,10,2020-03-28,13
1277,78,Luke Bryan,What She Wants Tonight,72,64,12,2020-03-28,13
1278,79,Gunna,SkyBox,0,79,1,2020-03-28,13
1279,80,SZA X Justin Timberlake,The Other Side,61,61,2,2020-03-28,13
1280,81,Jason Aldean,We Back,79,62,15,2020-03-28,13
1281,82,Riley Green,I Wish Grandpas Never Died,83,66,11,2020-03-28,13
1282,83,Bad Bunny & Sech,Ignorantes,49,49,3,2020-03-28,13
"1283,84,""Bad Bunny, Jowell & Randy & Nengo Flow"",Safaera,81,81,2,2020-03-28,13"
1284,85,Ingrid Andress,More Hearts Than Mine,77,67,11,2020-03-28,13
1285,86,Brett Young,Catch,87,81,7,2020-03-28,13
1286,87,Jhene Aiko,Triggered,0,51,4,2020-03-28,13
"1287,88,""G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert"",PTSD,38,38,2,2020-03-28,13"
"1288,89,""Lil Yachty, Drake & DaBaby"",Oprah's Bank Account,0,89,1,2020-03-28,13"
1289,90,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,65,60,4,2020-03-28,13
1290,91,Carly Pearce & Lee Brice,I Hope You're Happy Now,88,65,10,2020-03-28,13
1291,92,Bad Bunny X Daddy Yankee,La Santa,53,53,2,2020-03-28,13
1292,93,Jhene Aiko Featuring Big Sean,None Of Your Concern,0,55,3,2020-03-28,13
1293,94,Khalid x Disclosure,Know Your Worth,86,57,5,2020-03-28,13
1294,95,BrockHampton,SUGAR,0,66,9,2020-03-28,13
1295,96,Sam Smith,To Die For,84,46,4,2020-03-28,13
1296,97,Bad Bunny,Yo Perreo Sola,69,69,2,2020-03-28,13
1297,98,Lil Baby & 42 Dugg,Grace,48,48,2,2020-03-28,13
1298,99,Surfaces,Sunday Best,98,98,2,2020-03-28,13
1299,100,The Weeknd,After Hours,66,20,4,2020-03-28,13
1300,1,Roddy Ricch,The Box,1,1,15,2020-04-04,14
1301,2,The Weeknd,Blinding Lights,4,2,16,2020-04-04,14
1302,3,Dua Lipa,Don't Start Now,2,2,20,2020-04-04,14
1303,4,Future Featuring Drake,Life Is Good,3,2,10,2020-04-04,14
1304,5,Post Malone,Circles,5,1,29,2020-04-04,14
1305,6,Arizona Zervas,Roxanne,7,4,20,2020-04-04,14
1306,7,Harry Styles,Adore You,16,7,15,2020-04-04,14
1307,8,Justin Bieber Featuring Quavo,Intentions,10,8,6,2020-04-04,14
1308,9,Lewis Capaldi,Someone You Loved,15,1,45,2020-04-04,14
1309,10,Billie Eilish,Everything I Wanted,14,8,19,2020-04-04,14
1310,11,blackbear,Hot Girl Bummer,17,11,27,2020-04-04,14
1311,12,Maroon 5,Memories,13,2,26,2020-04-04,14
1312,13,Lil Uzi Vert,Myron,0,13,1,2020-04-04,14
1313,14,Doja Cat Featuring Nicki Minaj,Say So,19,14,11,2020-04-04,14
1314,15,Tones And I,Dance Monkey,12,4,24,2020-04-04,14
1315,16,The Weeknd,Heartless,21,1,17,2020-04-04,14
1316,17,Maren Morris,The Bones,23,17,26,2020-04-04,14
1317,18,Camila Cabello Featuring DaBaby,My Oh My,26,18,15,2020-04-04,14
1318,19,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),0,19,1,2020-04-04,14
1319,20,YNW Melly & Juice WRLD,Suicidal,0,20,16,2020-04-04,14
1320,21,Mustard & Roddy Ricch,Ballin',29,11,35,2020-04-04,14
"1321,22,Dan + Shay & Justin Bieber,""10,000 Hours"",27,4,24,2020-04-04,14"
1322,23,Eminem Featuring Juice WRLD,Godzilla,32,3,9,2020-04-04,14
1323,24,DaBaby,BOP,35,11,25,2020-04-04,14
1324,25,Lady Gaga,Stupid Love,30,5,3,2020-04-04,14
1325,26,Lil Uzi Vert & 21 Savage,Yessirskiii,0,26,1,2020-04-04,14
1326,27,Lil Uzi Vert,Baby Pluto,6,6,2,2020-04-04,14
1327,28,Lil Baby,Woah,31,15,19,2020-04-04,14
1328,29,Trevor Daniel,Falling,42,25,18,2020-04-04,14
1329,30,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),47,30,17,2020-04-04,14
1330,31,Selena Gomez,Lose You To Love Me,38,1,22,2020-04-04,14
1331,32,Chris Brown Featuring Drake,No Guidance,46,5,41,2020-04-04,14
1332,33,Roddy Ricch Featuring Mustard,High Fashion,43,20,12,2020-04-04,14
1333,34,Halsey,You Should Be Sad,41,26,10,2020-04-04,14
1334,35,Kane Brown,Homesick,44,35,18,2020-04-04,14
1335,36,Gabby Barrett Featuring Charlie Puth,I Hope,50,36,12,2020-04-04,14
1336,37,Lil Uzi Vert,P2,11,11,2,2020-04-04,14
1337,38,Lil Mosey,Blueberry Faygo,53,38,6,2020-04-04,14
1338,39,Jake Owen,Homemade,60,39,8,2020-04-04,14
1339,40,Rod Wave,Heart On Ice,58,40,19,2020-04-04,14
1340,41,Lil Uzi Vert,That Way,20,20,3,2020-04-04,14
1341,42,Lil Uzi Vert,Lo Mein,8,8,2,2020-04-04,14
1342,43,Demi Lovato,I Love Me,18,18,2,2020-04-04,14
1343,44,Lizzo,Good As Hell,49,3,30,2020-04-04,14
1344,45,Lil Uzi Vert,Lotus,0,45,1,2020-04-04,14
1345,46,Russ & BIA,BEST ON EARTH,62,46,15,2020-04-04,14
1346,47,H.E.R. Featuring YG,Slide,61,47,13,2020-04-04,14
"1347,48,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,73,48,6,2020-04-04,14"
1348,49,Luke Bryan,What She Wants Tonight,78,49,13,2020-04-04,14
1349,50,Pop Smoke,Dior,55,30,5,2020-04-04,14
1350,51,Lil Baby,Sum 2 Prove,52,16,10,2020-04-04,14
1351,52,Lil Uzi Vert,Silly Watch,9,9,2,2020-04-04,14
1352,53,Blake Shelton Duet With Gwen Stefani,Nobody But You,69,43,10,2020-04-04,14
1353,54,Lil Uzi Vert Featuring Future,Wassup,0,54,1,2020-04-04,14
"1354,55,""Lil Yachty, Drake & DaBaby"",Oprah's Bank Account,89,55,2,2020-04-04,14"
1355,56,Ingrid Andress,More Hearts Than Mine,85,56,12,2020-04-04,14
1356,57,Jhene Aiko Featuring H.E.R.,B.S.,24,24,2,2020-04-04,14
1357,58,Morgan Wallen,Chasin' You,70,58,8,2020-04-04,14
1358,59,Jordan Davis,Slow Dance In A Parking Lot,77,59,11,2020-04-04,14
1359,60,Lil Uzi Vert Featuring Young Thug & Gunna,Strawberry Peels,0,60,1,2020-04-04,14
1360,61,Jhene Aiko,P*$$y Fairy (OTW),40,40,9,2020-04-04,14
1361,62,Lil Uzi Vert,Moon Relate,0,62,1,2020-04-04,14
1362,63,Jonas Brothers,What A Man Gotta Do,63,16,9,2020-04-04,14
1363,64,Karol G & Nicki Minaj,Tusa,75,42,16,2020-04-04,14
1364,65,Brett Young,Catch,86,65,8,2020-04-04,14
1365,66,Lil Uzi Vert,I Can Show You,0,66,1,2020-04-04,14
1366,67,Jason Aldean,We Back,81,62,16,2020-04-04,14
1367,68,Lil Uzi Vert,Trap This Way (This Way),0,68,1,2020-04-04,14
1368,69,Riley Green,I Wish Grandpas Never Died,82,66,12,2020-04-04,14
1369,70,Bad Bunny,Si Veo A Tu Mama,56,32,3,2020-04-04,14
1370,71,Powfu Featuring beabadoobee,Death Bed,0,71,1,2020-04-04,14
1371,72,Lil Uzi Vert Featuring NAV,Leaders,0,72,1,2020-04-04,14
1372,73,Lil Baby & Gunna,Heatin Up,57,18,3,2020-04-04,14
1373,74,Surfaces,Sunday Best,99,74,3,2020-04-04,14
1374,75,Lil Baby & 42 Dugg,Grace,98,48,3,2020-04-04,14
1375,76,Lil Uzi Vert Featuring Lil Durk,No Auto,0,76,1,2020-04-04,14
1376,77,SZA X Justin Timberlake,The Other Side,80,61,3,2020-04-04,14
1377,78,Justin Bieber,Yummy,67,2,11,2020-04-04,14
1378,79,Megan Thee Stallion,B.I.T.C.H.,59,31,6,2020-04-04,14
1379,80,Bad Bunny,La Dificil,54,33,3,2020-04-04,14
1380,81,Carly Pearce & Lee Brice,I Hope You're Happy Now,91,65,11,2020-04-04,14
1381,82,Lil Uzi Vert,Homecoming,22,22,2,2020-04-04,14
1382,83,Lil Uzi Vert,Come This Way,0,83,1,2020-04-04,14
1383,84,Sam Smith,To Die For,96,46,5,2020-04-04,14
1384,85,Lil Baby,Emotionally Scarred,64,31,3,2020-04-04,14
1385,86,Luke Combs Featuring Eric Church,Does To Me,0,86,1,2020-04-04,14
1386,87,Lil Uzi Vert Featuring Young Thug,Got The Guap,0,87,1,2020-04-04,14
1387,88,BENEE Featuring Gus Dapperton,Supalonely,0,88,1,2020-04-04,14
1388,89,Lil Uzi Vert Featuring Young Nudy,Money Spread,0,89,1,2020-04-04,14
1389,90,Don Toliver,Cardigan,0,90,1,2020-04-04,14
1390,91,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,0,91,1,2020-04-04,14
1391,92,Bad Bunny,Vete,66,33,16,2020-04-04,14
1392,93,Khalid x Disclosure,Know Your Worth,94,57,6,2020-04-04,14
1393,94,Lil Uzi Vert,Futsal Shuffle 2020,48,5,11,2020-04-04,14
1394,95,Lil Uzi Vert,Prices,25,25,2,2020-04-04,14
1395,96,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,90,60,5,2020-04-04,14
1396,97,Lewis Capaldi,Before You Go,0,71,7,2020-04-04,14
1397,98,Megan Thee Stallion,Savage,0,98,1,2020-04-04,14
1398,99,Summer Walker & Usher,Come Thru,0,42,12,2020-04-04,14
1399,100,YoungBoy Never Broke Again,Make No Sense,0,57,18,2020-04-04,14
1400,1,The Weeknd,Blinding Lights,2,1,17,2020-04-11,15
1401,2,Roddy Ricch,The Box,1,1,16,2020-04-11,15
1402,3,Dua Lipa,Don't Start Now,3,2,21,2020-04-11,15
1403,4,The Weeknd,Heartless,16,1,18,2020-04-11,15
1404,5,Post Malone,Circles,5,1,30,2020-04-11,15
1405,6,Future Featuring Drake,Life Is Good,4,2,11,2020-04-11,15
1406,7,Harry Styles,Adore You,7,7,16,2020-04-11,15
1407,8,Justin Bieber Featuring Quavo,Intentions,8,8,7,2020-04-11,15
1408,9,Doja Cat Featuring Nicki Minaj,Say So,14,9,12,2020-04-11,15
1409,10,Arizona Zervas,Roxanne,6,4,21,2020-04-11,15
1410,11,Lewis Capaldi,Someone You Loved,9,1,46,2020-04-11,15
1411,12,Billie Eilish,Everything I Wanted,10,8,20,2020-04-11,15
1412,13,blackbear,Hot Girl Bummer,11,11,28,2020-04-11,15
1413,14,Maroon 5,Memories,12,2,27,2020-04-11,15
1414,15,Tones And I,Dance Monkey,15,4,25,2020-04-11,15
1415,16,The Weeknd,In Your Eyes,0,16,1,2020-04-11,15
1416,17,Maren Morris,The Bones,17,17,27,2020-04-11,15
1417,18,Camila Cabello Featuring DaBaby,My Oh My,18,18,16,2020-04-11,15
"1418,19,Dan + Shay & Justin Bieber,""10,000 Hours"",22,4,25,2020-04-11,15"
1419,20,Megan Thee Stallion,Savage,98,20,2,2020-04-11,15
1420,21,The Weeknd,Alone Again,0,21,1,2020-04-11,15
1421,22,The Weeknd,After Hours,0,20,5,2020-04-11,15
1422,23,Mustard & Roddy Ricch,Ballin',21,11,36,2020-04-11,15
1423,24,The Weeknd,Scared To Live,0,24,1,2020-04-11,15
1424,25,The Weeknd,Hardest To Love,0,25,1,2020-04-11,15
1425,26,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),30,26,18,2020-04-11,15
1426,27,Lady Gaga,Stupid Love,25,5,4,2020-04-11,15
1427,28,The Weeknd,Too Late,0,28,1,2020-04-11,15
1428,29,Trevor Daniel,Falling,29,25,19,2020-04-11,15
1429,30,Gabby Barrett Featuring Charlie Puth,I Hope,36,30,13,2020-04-11,15
1430,31,DaBaby,BOP,24,11,26,2020-04-11,15
1431,32,The Weeknd,Snowchild,0,32,1,2020-04-11,15
1432,33,Halsey,You Should Be Sad,34,26,11,2020-04-11,15
1433,34,Chris Brown Featuring Drake,No Guidance,32,5,42,2020-04-11,15
1434,35,YNW Melly & Juice WRLD,Suicidal,20,20,17,2020-04-11,15
1435,36,Roddy Ricch Featuring Mustard,High Fashion,33,20,13,2020-04-11,15
1436,37,Lil Mosey,Blueberry Faygo,38,37,7,2020-04-11,15
1437,38,Eminem Featuring Juice WRLD,Godzilla,23,3,10,2020-04-11,15
1438,39,The Weeknd,Escape From LA,0,39,1,2020-04-11,15
1439,40,Kane Brown,Homesick,35,35,19,2020-04-11,15
1440,41,The Weeknd,Save Your Tears,0,41,1,2020-04-11,15
1441,42,Lil Baby,Woah,28,15,20,2020-04-11,15
1442,43,Rod Wave,Heart On Ice,40,40,20,2020-04-11,15
1443,44,Blake Shelton Duet With Gwen Stefani,Nobody But You,53,43,11,2020-04-11,15
1444,45,The Weeknd,Faith,0,45,1,2020-04-11,15
1445,46,Luke Bryan,What She Wants Tonight,49,46,14,2020-04-11,15
1446,47,Selena Gomez,Lose You To Love Me,31,1,23,2020-04-11,15
1447,48,Demi Lovato,I Love Me,43,18,3,2020-04-11,15
1448,49,Jordan Davis,Slow Dance In A Parking Lot,59,49,12,2020-04-11,15
1449,50,Jake Owen,Homemade,39,39,9,2020-04-11,15
1450,51,H.E.R. Featuring YG,Slide,47,47,14,2020-04-11,15
1451,52,Russ & BIA,BEST ON EARTH,46,46,16,2020-04-11,15
1452,53,Morgan Wallen,Chasin' You,58,53,9,2020-04-11,15
1453,54,Lil Uzi Vert,Myron,13,13,2,2020-04-11,15
1454,55,SAINt JHN,Roses,0,55,1,2020-04-11,15
1455,56,Ingrid Andress,More Hearts Than Mine,56,56,13,2020-04-11,15
"1456,57,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,48,48,7,2020-04-11,15"
1457,58,Pop Smoke,Dior,50,30,6,2020-04-11,15
1458,59,Powfu Featuring beabadoobee,Death Bed,71,59,2,2020-04-11,15
1459,60,Lil Baby,Sum 2 Prove,51,16,11,2020-04-11,15
1460,61,Brett Young,Catch,65,61,9,2020-04-11,15
1461,62,Surfaces,Sunday Best,74,62,4,2020-04-11,15
1462,63,Luke Combs Featuring Eric Church,Does To Me,86,63,2,2020-04-11,15
1463,64,Carly Pearce & Lee Brice,I Hope You're Happy Now,81,64,12,2020-04-11,15
1464,65,Kelsea Ballerini,homecoming queen?,0,65,13,2020-04-11,15
1465,66,Karol G & Nicki Minaj,Tusa,64,42,17,2020-04-11,15
1466,67,Jhene Aiko,P*$$y Fairy (OTW),61,40,10,2020-04-11,15
1467,68,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,91,68,2,2020-04-11,15
1468,69,The Weeknd,Repeat After Me (Interlude),0,69,1,2020-04-11,15
1469,70,Lil Uzi Vert,P2,37,11,3,2020-04-11,15
1470,71,BENEE Featuring Gus Dapperton,Supalonely,88,71,2,2020-04-11,15
1471,72,Jonas Brothers,What A Man Gotta Do,63,16,10,2020-04-11,15
1472,73,Lil Uzi Vert,That Way,41,20,4,2020-04-11,15
1473,74,Lil Uzi Vert,Baby Pluto,27,6,3,2020-04-11,15
"1474,75,""Lil Yachty, Drake & DaBaby"",Oprah's Bank Account,55,55,3,2020-04-11,15"
1475,76,Jhene Aiko Featuring H.E.R.,B.S.,57,24,3,2020-04-11,15
1476,77,Lewis Capaldi,Before You Go,97,71,8,2020-04-11,15
1477,78,JACKBOYS Featuring Young Thug,Out West,0,38,11,2020-04-11,15
1478,79,SZA X Justin Timberlake,The Other Side,77,61,4,2020-04-11,15
1479,80,The Weeknd,Until I Bleed Out,0,80,1,2020-04-11,15
1480,81,Megan Thee Stallion,B.I.T.C.H.,79,31,7,2020-04-11,15
1481,82,Khalid x Disclosure,Know Your Worth,93,57,7,2020-04-11,15
1482,83,Justin Bieber,Yummy,78,2,12,2020-04-11,15
1483,84,Sam Smith,To Die For,84,46,6,2020-04-11,15
1484,85,Lil Baby & 42 Dugg,Grace,75,48,4,2020-04-11,15
1485,86,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),19,19,2,2020-04-11,15
1486,87,Lil Uzi Vert,Lo Mein,42,8,3,2020-04-11,15
1487,88,Summer Walker & Usher,Come Thru,99,42,13,2020-04-11,15
1488,89,Lil Baby,Emotionally Scarred,85,31,4,2020-04-11,15
1489,90,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,0,73,9,2020-04-11,15
1490,91,Lil Baby & Gunna,Heatin Up,73,18,4,2020-04-11,15
1491,92,Bad Bunny,Si Veo A Tu Mama,70,32,4,2020-04-11,15
1492,93,Lil Uzi Vert & 21 Savage,Yessirskiii,26,26,2,2020-04-11,15
1493,94,NLE Choppa Featuring Roddy Ricch,Walk Em Down,0,94,1,2020-04-11,15
1494,95,Kelsea Ballerini x Halsey,The Other Girl,0,95,1,2020-04-11,15
1495,96,YoungBoy Never Broke Again,Make No Sense,100,57,19,2020-04-11,15
1496,97,Idina Menzel & AURORA,Into The Unknown,0,46,11,2020-04-11,15
1497,98,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,96,60,6,2020-04-11,15
1498,99,Bad Bunny,Vete,92,33,17,2020-04-11,15
1499,100,Bad Bunny,La Dificil,80,33,4,2020-04-11,15
1500,1,The Weeknd,Blinding Lights,1,1,18,2020-04-18,16
1501,2,Roddy Ricch,The Box,2,1,17,2020-04-18,16
1502,3,Dua Lipa,Don't Start Now,3,2,22,2020-04-18,16
1503,4,Post Malone,Circles,5,1,31,2020-04-18,16
1504,5,Future Featuring Drake,Life Is Good,6,2,12,2020-04-18,16
1505,6,Harry Styles,Adore You,7,6,17,2020-04-18,16
1506,7,Doja Cat Featuring Nicki Minaj,Say So,9,7,13,2020-04-18,16
1507,8,Justin Bieber Featuring Quavo,Intentions,8,8,8,2020-04-18,16
1508,9,Billie Eilish,Everything I Wanted,12,8,21,2020-04-18,16
1509,10,Lewis Capaldi,Someone You Loved,11,1,47,2020-04-18,16
1510,11,Arizona Zervas,Roxanne,10,4,22,2020-04-18,16
1511,12,The Weeknd,Heartless,4,1,19,2020-04-18,16
1512,13,Maroon 5,Memories,14,2,28,2020-04-18,16
1513,14,Maren Morris,The Bones,17,14,28,2020-04-18,16
1514,15,Camila Cabello Featuring DaBaby,My Oh My,18,15,17,2020-04-18,16
1515,16,blackbear,Hot Girl Bummer,13,11,29,2020-04-18,16
"1516,17,""NAV, Gunna & Travis Scott"",Turks,0,17,1,2020-04-18,16"
1517,18,Megan Thee Stallion,Savage,20,18,3,2020-04-18,16
1518,19,Lil Mosey,Blueberry Faygo,37,19,8,2020-04-18,16
1519,20,Tones And I,Dance Monkey,15,4,26,2020-04-18,16
1520,21,Dua Lipa,Break My Heart,0,21,1,2020-04-18,16
1521,22,Gabby Barrett Featuring Charlie Puth,I Hope,30,22,14,2020-04-18,16
1522,23,PARTYNEXTDOOR & Rihanna,Believe It,0,23,1,2020-04-18,16
1523,24,Mustard & Roddy Ricch,Ballin',23,11,37,2020-04-18,16
1524,25,Trevor Daniel,Falling,29,25,20,2020-04-18,16
1525,26,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),26,26,19,2020-04-18,16
1526,27,Lady Gaga,Stupid Love,27,5,5,2020-04-18,16
"1527,28,Dan + Shay & Justin Bieber,""10,000 Hours"",19,4,26,2020-04-18,16"
1528,29,DaBaby,BOP,31,11,27,2020-04-18,16
1529,30,Rod Wave,Heart On Ice,43,30,21,2020-04-18,16
1530,31,Roddy Ricch Featuring Mustard,High Fashion,36,20,14,2020-04-18,16
1531,32,Blake Shelton Duet With Gwen Stefani,Nobody But You,44,32,12,2020-04-18,16
1532,33,YNW Melly & Juice WRLD,Suicidal,35,20,18,2020-04-18,16
1533,34,Halsey,You Should Be Sad,33,26,12,2020-04-18,16
1534,35,Chris Brown Featuring Drake,No Guidance,34,5,43,2020-04-18,16
1535,36,Morgan Wallen,Chasin' You,53,36,10,2020-04-18,16
1536,37,Jordan Davis,Slow Dance In A Parking Lot,49,37,13,2020-04-18,16
1537,38,Kane Brown,Homesick,40,35,20,2020-04-18,16
1538,39,SAINt JHN,Roses,55,39,2,2020-04-18,16
1539,40,Brett Young,Catch,61,40,10,2020-04-18,16
1540,41,Demi Lovato,I Love Me,48,18,4,2020-04-18,16
1541,42,The Weeknd,In Your Eyes,16,16,2,2020-04-18,16
1542,43,Powfu Featuring beabadoobee,Death Bed,59,43,3,2020-04-18,16
1543,44,Ingrid Andress,More Hearts Than Mine,56,44,14,2020-04-18,16
1544,45,H.E.R. Featuring YG,Slide,51,45,15,2020-04-18,16
1545,46,Lil Baby,Woah,42,15,21,2020-04-18,16
1546,47,Eminem Featuring Juice WRLD,Godzilla,38,3,11,2020-04-18,16
1547,48,Russ & BIA,BEST ON EARTH,52,46,17,2020-04-18,16
"1548,49,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,57,48,8,2020-04-18,16"
1549,50,Luke Bryan,What She Wants Tonight,46,46,15,2020-04-18,16
1550,51,Jake Owen,Homemade,50,39,10,2020-04-18,16
1551,52,Surfaces,Sunday Best,62,52,5,2020-04-18,16
1552,53,Bad Bunny,Yo Perreo Sola,0,53,3,2020-04-18,16
1553,54,Pop Smoke,Dior,58,30,7,2020-04-18,16
1554,55,Lil Baby,Sum 2 Prove,60,16,12,2020-04-18,16
1555,56,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,68,56,3,2020-04-18,16
1556,57,NLE Choppa Featuring Roddy Ricch,Walk Em Down,94,57,2,2020-04-18,16
1557,58,Carly Pearce & Lee Brice,I Hope You're Happy Now,64,58,13,2020-04-18,16
1558,59,Luke Combs Featuring Eric Church,Does To Me,63,59,3,2020-04-18,16
1559,60,PARTYNEXTDOOR Featuring Drake,Loyal,0,60,3,2020-04-18,16
1560,61,The Weeknd,After Hours,22,20,6,2020-04-18,16
1561,62,BENEE Featuring Gus Dapperton,Supalonely,71,62,3,2020-04-18,16
1562,63,Lil Uzi Vert,Myron,54,13,3,2020-04-18,16
1563,64,Karol G & Nicki Minaj,Tusa,66,42,18,2020-04-18,16
1564,65,Jhene Aiko,P*$$y Fairy (OTW),67,40,11,2020-04-18,16
